Date,Description,Amount,Transaction Type,Category
2026-05-01,Monthly Salary,85000,Credit,Income
2026-05-02,Swiggy Order,450,Debit,Food
2026-05-03,Uber Ride,320,Debit,Transport
2026-05-04,Amazon Shopping,2800,Debit,Shopping
2026-05-05,Netflix Subscription,649,Debit,Entertainment
2026-05-06,Electricity Bill,2100,Debit,Utilities
2026-05-07,Petrol Pump,1800,Debit,Transport
2026-05-08,Restaurant Dinner,1200,Debit,Food
2026-05-09,Pharmacy Purchase,950,Debit,Healthcare
2026-05-10,Mobile Recharge,699,Debit,Utilities
2026-05-11,Amazon Shopping,3400,Debit,Shopping
2026-05-12,Movie Tickets,750,Debit,Entertainment
2026-05-13,Grocery Store,2200,Debit,Food
2026-05-14,Doctor Consultation,1800,Debit,Healthcare
2026-05-15,Uber Ride,280,Debit,Transport
2026-05-16,Zomato Order,650,Debit,Food
2026-05-17,Internet Bill,999,Debit,Utilities
2026-05-18,Clothing Purchase,4200,Debit,Shopping
2026-05-19,Gym Membership,1500,Debit,Healthcare
2026-05-20,Coffee Shop,350,Debit,Food
2026-05-21,Petrol Pump,2200,Debit,Transport
2026-05-22,Spotify Subscription,149,Debit,Entertainment
2026-05-23,Supermarket,2600,Debit,Food
2026-05-24,Online Shopping,3100,Debit,Shopping
2026-05-25,Electricity Bill,1900,Debit,Utilities
2026-05-26,Dental Checkup,2500,Debit,Healthcare
2026-05-27,Restaurant Dinner,1600,Debit,Food
2026-05-28,Amazon Shopping,5100,Debit,Shopping
2026-05-29,Movie Tickets,900,Debit,Entertainment
2026-05-30,Uber Ride,450,Debit,Transport
2026-05-31,Interest Credit,1200,Credit,Income
